Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.1,134438654,3,44812884.7,73558.0,5453,134359643,77549775.0,cudaMalloc
1.2,1634135,1,1634135.0,1634135.0,1634135,1634135,0.0,cudaGetDeviceProperties_v2_v12000
0.3,413598,2,206799.0,206799.0,25713,387885,256094.3,cudaMemcpy
0.2,206331,3,68777.0,97461.0,6849,102021,53679.7,cudaFree
0.1,180965,18,10053.6,3500.5,3248,117381,26796.0,cudaLaunchKernel
0.1,88373,1,88373.0,88373.0,88373,88373,0.0,cudaDeviceSynchronize
0.0,23408,1,23408.0,23408.0,23408,23408,0.0,cudaEventSynchronize
0.0,7831,2,3915.5,3915.5,2725,5106,1683.6,cudaEventRecord
0.0,2975,2,1487.5,1487.5,479,2496,1426.2,cudaEventCreate
0.0,2431,1,2431.0,2431.0,2431,2431,0.0,cuModuleGetLoadingMode
0.0,1352,2,676.0,676.0,378,974,421.4,cudaEventDestroy
