Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.3,137961587,3,45987195.7,67267.0,5690,137888630,79588982.7,cudaMalloc
1.1,1556550,1,1556550.0,1556550.0,1556550,1556550,0.0,cudaGetDeviceProperties_v2_v12000
0.3,394109,2,197054.5,197054.5,23398,370711,245587.4,cudaMemcpy
0.1,205299,3,68433.0,95654.0,7919,101726,52494.5,cudaFree
0.1,188302,18,10461.2,3412.5,3112,128059,29354.0,cudaLaunchKernel
0.0,50794,1,50794.0,50794.0,50794,50794,0.0,cudaDeviceSynchronize
0.0,15540,1,15540.0,15540.0,15540,15540,0.0,cudaEventSynchronize
0.0,7862,2,3931.0,3931.0,2720,5142,1712.6,cudaEventRecord
0.0,4361,2,2180.5,2180.5,1934,2427,348.6,cudaEventCreate
0.0,2184,1,2184.0,2184.0,2184,2184,0.0,cuModuleGetLoadingMode
0.0,1355,2,677.5,677.5,324,1031,499.9,cudaEventDestroy
