Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.2,139312262,3,46437420.7,73589.0,4866,139233807,80364035.3,cudaMalloc
1.2,1669410,1,1669410.0,1669410.0,1669410,1669410,0.0,cudaGetDeviceProperties_v2_v12000
0.3,427864,2,213932.0,213932.0,24753,403111,267539.5,cudaMemcpy
0.2,220804,18,12266.9,3568.5,3360,157096,36148.8,cudaLaunchKernel
0.1,206057,3,68685.7,97757.0,6694,101606,53720.8,cudaFree
0.0,18111,1,18111.0,18111.0,18111,18111,0.0,cudaDeviceSynchronize
0.0,15049,2,7524.5,7524.5,5398,9651,3007.3,cudaEventRecord
0.0,4434,1,4434.0,4434.0,4434,4434,0.0,cudaEventSynchronize
0.0,3061,1,3061.0,3061.0,3061,3061,0.0,cuModuleGetLoadingMode
0.0,3008,2,1504.0,1504.0,429,2579,1520.3,cudaEventCreate
0.0,1536,2,768.0,768.0,361,1175,575.6,cudaEventDestroy
