Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.1,133457739,3,44485913.0,72116.0,4691,133380932,76985352.1,cudaMalloc
1.2,1646101,1,1646101.0,1646101.0,1646101,1646101,0.0,cudaGetDeviceProperties_v2_v12000
0.3,395927,2,197963.5,197963.5,23020,372907,247407.5,cudaMemcpy
0.2,238232,18,13235.1,3512.5,2995,177804,41075.1,cudaLaunchKernel
0.2,216335,3,72111.7,103383.0,6688,106264,56676.9,cudaFree
0.0,6941,2,3470.5,3470.5,2433,4508,1467.2,cudaEventRecord
0.0,5736,1,5736.0,5736.0,5736,5736,0.0,cudaDeviceSynchronize
0.0,5234,1,5234.0,5234.0,5234,5234,0.0,cudaEventSynchronize
0.0,2631,1,2631.0,2631.0,2631,2631,0.0,cuModuleGetLoadingMode
0.0,2522,2,1261.0,1261.0,477,2045,1108.7,cudaEventCreate
0.0,1535,2,767.5,767.5,377,1158,552.3,cudaEventDestroy
