Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
pipeline_iteration,PushPop,121936332,122349439,1,121936332.0,121936332.0,121936332,121936332,0.0,48,48.0,1.0,16.0
profile,PushPop,121936332,122449291,1,121936332.0,121936332.0,121936332,121936332,0.0,48,48.0,0.0,1.0
d2h,PushPop,63239328,68253590,16,3952458.0,3445492.5,3416610,8955474,1421858.8,16,1.0,3.0,0.0
h2d,PushPop,52497525,53736231,16,3281095.3,3272968.5,3238294,3330268,32018.8,16,1.0,3.0,0.0
chunk_0,PushPop,12372020,13144590,1,12372020.0,12372020.0,12372020,12372020,0.0,3,3.0,2.0,3.0
chunk_12,PushPop,8678143,8966141,1,8678143.0,8678143.0,8678143,8678143,0.0,3,3.0,2.0,3.0
chunk_1,PushPop,7552884,7844117,1,7552884.0,7552884.0,7552884,7552884,0.0,3,3.0,2.0,3.0
chunk_15,PushPop,6873608,7168253,1,6873608.0,6873608.0,6873608,6873608,0.0,3,3.0,2.0,3.0
chunk_3,PushPop,6867046,7155006,1,6867046.0,6867046.0,6867046,6867046,0.0,3,3.0,2.0,3.0
chunk_2,PushPop,6856934,7149709,1,6856934.0,6856934.0,6856934,6856934,0.0,3,3.0,2.0,3.0
chunk_14,PushPop,6829829,7114280,1,6829829.0,6829829.0,6829829,6829829,0.0,3,3.0,2.0,3.0
chunk_6,PushPop,6828772,7113389,1,6828772.0,6828772.0,6828772,6828772,0.0,3,3.0,2.0,3.0
chunk_10,PushPop,6819171,7115060,1,6819171.0,6819171.0,6819171,6819171,0.0,3,3.0,2.0,3.0
chunk_4,PushPop,6818660,7124890,1,6818660.0,6818660.0,6818660,6818660,0.0,3,3.0,2.0,3.0
chunk_5,PushPop,6800131,7085593,1,6800131.0,6800131.0,6800131,6800131,0.0,3,3.0,2.0,3.0
chunk_7,PushPop,6799010,7088024,1,6799010.0,6799010.0,6799010,6799010,0.0,3,3.0,2.0,3.0
chunk_11,PushPop,6795010,7076915,1,6795010.0,6795010.0,6795010,6795010,0.0,3,3.0,2.0,3.0
chunk_8,PushPop,6788706,7077947,1,6788706.0,6788706.0,6788706,6788706,0.0,3,3.0,2.0,3.0
chunk_13,PushPop,6775456,7058765,1,6775456.0,6775456.0,6775456,6775456,0.0,3,3.0,2.0,3.0
chunk_9,PushPop,6744511,7041159,1,6744511.0,6744511.0,6744511,6744511,0.0,3,3.0,2.0,3.0
transpose,PushPop,1298006,264595,16,81125.4,81093.5,80774,81925,277.5,16,1.0,3.0,0.0
