Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
25.0,122449291,1,122449291.0,122449291.0,122449291,122449291,0.0,profile
25.0,122349439,1,122349439.0,122349439.0,122349439,122349439,0.0,pipeline_iteration
13.9,68253590,16,4265849.4,3735172.0,3709764,9590758,1502527.0,d2h
11.0,53736231,16,3358514.4,3344018.0,3309389,3510056,50475.1,h2d
2.7,13144590,1,13144590.0,13144590.0,13144590,13144590,0.0,chunk_0
1.8,8966141,1,8966141.0,8966141.0,8966141,8966141,0.0,chunk_12
1.6,7844117,1,7844117.0,7844117.0,7844117,7844117,0.0,chunk_1
1.5,7168253,1,7168253.0,7168253.0,7168253,7168253,0.0,chunk_15
1.5,7155006,1,7155006.0,7155006.0,7155006,7155006,0.0,chunk_3
1.5,7149709,1,7149709.0,7149709.0,7149709,7149709,0.0,chunk_2
1.5,7124890,1,7124890.0,7124890.0,7124890,7124890,0.0,chunk_4
1.5,7115060,1,7115060.0,7115060.0,7115060,7115060,0.0,chunk_10
1.5,7114280,1,7114280.0,7114280.0,7114280,7114280,0.0,chunk_14
1.5,7113389,1,7113389.0,7113389.0,7113389,7113389,0.0,chunk_6
1.4,7088024,1,7088024.0,7088024.0,7088024,7088024,0.0,chunk_7
1.4,7085593,1,7085593.0,7085593.0,7085593,7085593,0.0,chunk_5
1.4,7077947,1,7077947.0,7077947.0,7077947,7077947,0.0,chunk_8
1.4,7076915,1,7076915.0,7076915.0,7076915,7076915,0.0,chunk_11
1.4,7058765,1,7058765.0,7058765.0,7058765,7058765,0.0,chunk_13
1.4,7041159,1,7041159.0,7041159.0,7041159,7041159,0.0,chunk_9
0.1,264595,16,16537.2,14248.0,12165,39250,6888.1,transpose
