Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
13828002,1324459,19,,,,,,,,,,33.554,25333.596,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
15206252,80767,20,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
15292779,1349707,22,,,,,,,,,,33.554,24830.280,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
16664982,1324235,23,,,,,,,,,,33.554,25333.596,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
18000481,81503,24,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
18088640,1339659,26,,,,,,,,,,33.554,25031.606,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
19437099,1324523,27,,,,,,,,,,33.554,25300.042,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
20771670,81055,28,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
20854069,1339691,30,,,,,,,,,,33.554,25031.606,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
22202176,1324427,31,,,,,,,,,,33.554,25333.596,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
23535787,80959,32,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
23624297,1336108,34,,,,,,,,,,33.554,25098.715,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
24969045,1324907,35,,,,,,,,,,33.554,25300.042,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
26303360,81023,36,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
26388671,1338699,38,,,,,,,,,,33.554,25031.606,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
27736010,1324747,39,,,,,,,,,,33.554,25300.042,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
29069685,81183,40,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
29158932,1334347,42,,,,,,,,,,33.554,25132.270,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
30501343,1324491,43,,,,,,,,,,33.554,25333.596,Pinned,Device,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Host-to-Device]
31835178,80991,44,128,64,1,32,8,1,26,0.004,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"cuda_foundations::streams::stream_padded_transpose_kernel(const float *, float *, unsigned long, unsigned long)"
31922665,1334987,46,,,,,,,,,,33.554,25132.270,Device,Pinned,NVIDIA GeForce RTX 3090 (0),1,,7,[CUDA memcpy Device-to-Host]
