Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
pipeline_iteration,PushPop,44325232,44373293,1,44325232.0,44325232.0,44325232,44325232,0.0,48,48.0,1.0,16.0
profile,PushPop,44325232,44444410,1,44325232.0,44325232.0,44325232,44325232,0.0,48,48.0,0.0,1.0
d2h,PushPop,21395250,22846654,16,1337203.1,1336331.5,1332267,1349707,4038.9,16,1.0,3.0,0.0
h2d,PushPop,21192978,21373345,16,1324561.1,1324475.0,1324108,1325963,446.0,16,1.0,3.0,0.0
chunk_0,PushPop,2814484,2863489,1,2814484.0,2814484.0,2814484,2814484,0.0,3,3.0,2.0,3.0
chunk_1,PushPop,2763317,2779833,1,2763317.0,2763317.0,2763317,2763317,0.0,3,3.0,2.0,3.0
chunk_10,PushPop,2762389,2772472,1,2762389.0,2762389.0,2762389,2762389,0.0,3,3.0,2.0,3.0
chunk_11,PushPop,2759605,2767941,1,2759605.0,2759605.0,2759605,2759605,0.0,3,3.0,2.0,3.0
chunk_13,PushPop,2758357,2771448,1,2758357.0,2758357.0,2758357,2758357,0.0,3,3.0,2.0,3.0
chunk_4,PushPop,2758325,2766705,1,2758325.0,2758325.0,2758325,2758325,0.0,3,3.0,2.0,3.0
chunk_3,PushPop,2758229,2766352,1,2758229.0,2758229.0,2758229,2758229,0.0,3,3.0,2.0,3.0
chunk_7,PushPop,2757877,2765783,1,2757877.0,2757877.0,2757877,2757877,0.0,3,3.0,2.0,3.0
chunk_5,PushPop,2757269,2765667,1,2757269.0,2757269.0,2757269,2757269,0.0,3,3.0,2.0,3.0
chunk_2,PushPop,2756661,2765137,1,2756661.0,2756661.0,2756661,2756661,0.0,3,3.0,2.0,3.0
chunk_6,PushPop,2756309,2764598,1,2756309.0,2756309.0,2756309,2756309,0.0,3,3.0,2.0,3.0
chunk_8,PushPop,2755957,2764562,1,2755957.0,2755957.0,2755957,2755957,0.0,3,3.0,2.0,3.0
chunk_15,PushPop,2754006,2762541,1,2754006.0,2754006.0,2754006,2754006,0.0,3,3.0,2.0,3.0
chunk_12,PushPop,2753173,2761556,1,2753173.0,2753173.0,2753173,2753173,0.0,3,3.0,2.0,3.0
chunk_9,PushPop,2752373,2761080,1,2752373.0,2752373.0,2752373,2752373,0.0,3,3.0,2.0,3.0
chunk_14,PushPop,2752117,2760738,1,2752117.0,2752117.0,2752117,2752117,0.0,3,3.0,2.0,3.0
transpose,PushPop,1296399,122483,16,81024.9,80975.0,80510,81759,298.8,16,1.0,3.0,0.0
