Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
25.0,44444410,1,44444410.0,44444410.0,44444410,44444410,0.0,profile
25.0,44373293,1,44373293.0,44373293.0,44373293,44373293,0.0,pipeline_iteration
12.9,22846654,16,1427915.9,1428147.5,1422910,1432302,2964.1,d2h
12.0,21373345,16,1335834.1,1332426.5,1331827,1375268,10718.1,h2d
1.6,2863489,1,2863489.0,2863489.0,2863489,2863489,0.0,chunk_0
1.6,2779833,1,2779833.0,2779833.0,2779833,2779833,0.0,chunk_1
1.6,2772472,1,2772472.0,2772472.0,2772472,2772472,0.0,chunk_10
1.6,2771448,1,2771448.0,2771448.0,2771448,2771448,0.0,chunk_13
1.6,2767941,1,2767941.0,2767941.0,2767941,2767941,0.0,chunk_11
1.6,2766705,1,2766705.0,2766705.0,2766705,2766705,0.0,chunk_4
1.6,2766352,1,2766352.0,2766352.0,2766352,2766352,0.0,chunk_3
1.6,2765783,1,2765783.0,2765783.0,2765783,2765783,0.0,chunk_7
1.6,2765667,1,2765667.0,2765667.0,2765667,2765667,0.0,chunk_5
1.6,2765137,1,2765137.0,2765137.0,2765137,2765137,0.0,chunk_2
1.6,2764598,1,2764598.0,2764598.0,2764598,2764598,0.0,chunk_6
1.6,2764562,1,2764562.0,2764562.0,2764562,2764562,0.0,chunk_8
1.6,2762541,1,2762541.0,2762541.0,2762541,2762541,0.0,chunk_15
1.6,2761556,1,2761556.0,2761556.0,2761556,2761556,0.0,chunk_12
1.6,2761080,1,2761080.0,2761080.0,2761080,2761080,0.0,chunk_9
1.6,2760738,1,2760738.0,2760738.0,2760738,2760738,0.0,chunk_14
0.1,122483,16,7655.2,4569.0,4143,52223,11899.9,transpose
