Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.9,161412340,2,80706170.0,80706170.0,69746,161342594,114037124.4,cudaMalloc
7.6,13736561,2,6868280.5,6868280.5,6282352,7454209,828628.0,cudaMemcpy
1.4,2536397,1,2536397.0,2536397.0,2536397,2536397,0.0,cudaDeviceSynchronize
1.0,1761640,1,1761640.0,1761640.0,1761640,1761640,0.0,cudaGetDeviceProperties_v2_v12000
0.8,1365514,2,682757.0,682757.0,243948,1121566,620569.6,cudaFree
0.3,512230,1,512230.0,512230.0,512230,512230,0.0,cudaEventSynchronize
0.1,166070,6,27678.3,3831.0,3588,145887,57913.5,cudaLaunchKernel
0.0,9207,2,4603.5,4603.5,709,8498,5507.7,cudaEventDestroy
0.0,7726,2,3863.0,3863.0,2863,4863,1414.2,cudaEventRecord
0.0,4413,2,2206.5,2206.5,502,3911,2410.5,cudaEventCreate
0.0,2332,1,2332.0,2332.0,2332,2332,0.0,cuModuleGetLoadingMode
