Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.8,160314212,2,80157106.0,80157106.0,73146,160241066,113255822.4,cudaMalloc
7.7,13670794,2,6835397.0,6835397.0,6249810,7420984,828145.1,cudaMemcpy
1.1,1964172,1,1964172.0,1964172.0,1964172,1964172,0.0,cudaGetDeviceProperties_v2_v12000
0.8,1346486,2,673243.0,673243.0,223924,1122562,635433.0,cudaFree
0.5,825266,1,825266.0,825266.0,825266,825266,0.0,cudaDeviceSynchronize
0.1,191145,6,31857.5,3993.0,3465,171182,68256.8,cudaLaunchKernel
0.1,170023,1,170023.0,170023.0,170023,170023,0.0,cudaEventSynchronize
0.0,8386,2,4193.0,4193.0,705,7681,4932.8,cudaEventDestroy
0.0,7152,2,3576.0,3576.0,2684,4468,1261.5,cudaEventRecord
0.0,3769,2,1884.5,1884.5,1870,1899,20.5,cudaEventCreate
0.0,2103,1,2103.0,2103.0,2103,2103,0.0,cuModuleGetLoadingMode
