Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.7,134006710,2,67003355.0,67003355.0,76022,133930688,94649542.0,cudaMalloc
9.3,14225018,2,7112509.0,7112509.0,6573086,7651932,762859.3,cudaMemcpy
1.2,1906862,1,1906862.0,1906862.0,1906862,1906862,0.0,cudaGetDeviceProperties_v2_v12000
0.9,1363856,2,681928.0,681928.0,246804,1117052,615358.3,cudaFree
0.5,802765,1,802765.0,802765.0,802765,802765,0.0,cudaDeviceSynchronize
0.2,230023,6,38337.2,4401.5,3562,208712,83468.5,cudaLaunchKernel
0.1,167206,1,167206.0,167206.0,167206,167206,0.0,cudaEventSynchronize
0.0,10909,2,5454.5,5454.5,1056,9853,6220.4,cudaEventDestroy
0.0,8077,2,4038.5,4038.5,2729,5348,1851.9,cudaEventRecord
0.0,3392,2,1696.0,1696.0,490,2902,1705.5,cudaEventCreate
0.0,2326,1,2326.0,2326.0,2326,2326,0.0,cuModuleGetLoadingMode
