git_commit,timestamp,gpu_name,cuda_driver_api_version,cuda_runtime_version,kernel_name,n,dtype,block,first_stage_grid,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,lower_bound_bandwidth_gbps,first_stage_partial_count,kernel_launch_count,static_shared_memory_bytes,gpu_result,cpu_double_reference,max_abs_error,normalized_error,tolerance
77a1c50,2026-08-23T17:11:58Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1,FP32,256,1,20,100,5,2.93888,2.94912,2.9655,0.0100331,0.00135634,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
77a1c50,2026-08-23T17:11:58Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,31,FP32,256,1,20,100,5,2.95936,2.9696,2.97779,0.00647639,0.0417565,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
77a1c50,2026-08-23T17:11:58Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,32,FP32,256,1,20,100,5,3.35872,3.36896,3.40582,0.0183179,0.0379939,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
77a1c50,2026-08-23T17:11:59Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,33,FP32,256,1,20,100,5,2.94912,2.95936,2.95936,0.00501645,0.0446042,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
77a1c50,2026-08-23T17:11:59Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,255,FP32,256,1,20,100,5,2.97984,2.99008,3.00032,0.00766285,0.341128,1,1,1024,2.6085,2.6085,1.75278e-08,1.42917e-10,0.000623214
77a1c50,2026-08-23T17:11:59Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,256,FP32,256,1,20,100,5,2.9696,2.97984,2.99622,0.0112173,0.343643,1,1,1024,3.2473,3.2473,6.13574e-07,4.97701e-09,0.000626408
77a1c50,2026-08-23T17:12:00Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,257,FP32,256,2,20,100,5,5.89824,5.91872,5.9351,0.0135848,0.173686,2,2,1024,3.5153,3.5153,7.32784e-07,5.93108e-09,0.000627748
77a1c50,2026-08-23T17:12:00Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1023,FP32,256,4,20,100,5,5.85728,5.86752,5.87571,0.00647639,0.697399,4,2,1024,2.193,2.193,1.04594e-06,2.05254e-09,0.00255791
77a1c50,2026-08-23T17:12:00Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1024,FP32,256,4,20,100,5,5.91872,5.9392,5.94944,0.0112174,0.689655,4,2,1024,2.8429,2.8429,1.46317e-06,2.86766e-09,0.00256116
77a1c50,2026-08-23T17:12:01Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1025,FP32,256,5,20,100,5,5.98016,5.9904,5.9904,0.0050163,0.684428,5,2,1024,2.4637,2.4637,1.49298e-06,2.92389e-09,0.00256306
77a1c50,2026-08-23T17:12:01Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1000003,FP32,256,3907,20,100,5,28.4365,28.4365,28.4549,0.00819206,140.665,3907,3,1024,-304.132,-304.132,9.51785e-05,1.90485e-10,2.49833
77a1c50,2026-08-23T17:12:01Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,16777219,FP32,256,65537,20,100,5,338.237,347.382,347.439,3.66603,193.185,65537,4,1024,-6263.99,-6263.99,0.000122592,1.46175e-11,41.9334
