git_commit,timestamp,gpu_name,cuda_driver_api_version,cuda_runtime_version,kernel_name,n,dtype,block,first_stage_grid,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,lower_bound_bandwidth_gbps,first_stage_partial_count,kernel_launch_count,static_shared_memory_bytes,gpu_result,cpu_double_reference,max_abs_error,normalized_error,tolerance
bc73d11,2026-08-23T17:38:09Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1,FP32,256,1,20,100,5,2.94912,2.95936,2.96755,0.0064763,0.00135164,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
bc73d11,2026-08-23T17:38:09Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,1,FP32,256,1,20,100,5,2.4064,2.42688,2.44326,0.0135849,0.00164821,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
bc73d11,2026-08-23T17:38:09Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,1,FP32,256,1,20,100,5,2.44736,2.4576,2.53338,0.0374286,0.0016276,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
bc73d11,2026-08-23T17:38:10Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,31,FP32,256,1,20,100,5,2.97984,2.97984,3.00442,0.012288,0.041613,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
bc73d11,2026-08-23T17:38:10Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,31,FP32,256,1,20,100,5,2.39616,2.42688,2.4535,0.0218666,0.0510944,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
bc73d11,2026-08-23T17:38:10Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,31,FP32,256,1,20,100,5,2.47808,2.49856,2.52518,0.016638,0.0496286,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
bc73d11,2026-08-23T17:38:10Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,32,FP32,256,1,20,100,5,2.94912,2.94912,2.9737,0.012288,0.0434028,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
bc73d11,2026-08-23T17:38:11Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,32,FP32,256,1,20,100,5,2.4576,2.46784,2.49446,0.0153258,0.0518672,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
bc73d11,2026-08-23T17:38:11Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,32,FP32,256,1,20,100,5,2.4064,2.4064,2.43507,0.0129527,0.0531915,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
bc73d11,2026-08-23T17:38:11Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,33,FP32,256,1,20,100,5,2.97984,2.97984,2.98803,0.00409603,0.0442977,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
bc73d11,2026-08-23T17:38:12Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,33,FP32,256,1,20,100,5,2.34496,2.36544,2.37363,0.012288,0.0558036,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
bc73d11,2026-08-23T17:38:12Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,33,FP32,256,1,20,100,5,2.43712,2.4576,2.49242,0.0200662,0.0537109,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
bc73d11,2026-08-23T17:38:12Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,255,FP32,256,1,20,100,5,3.00032,3.00032,3.01056,0.00501659,0.339964,1,1,1024,2.6085,2.6085,1.75278e-08,1.42917e-10,0.000623214
