git_commit,timestamp,gpu_name,driver_version,cuda_version,kernel_name,shape,dtype,grid,block,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,effective_bandwidth_gbps,relative_copy_percent,relative_naive_speedup,max_abs_error,relative_error
f26e668,2026-08-23T16:33:45Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,1024x8192,FP32,32x256,32x8,20,100,5,82.7904,82.8006,82.8375,0.0183169,810.487,100,3.14222,0,0
f26e668,2026-08-23T16:33:45Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,1024x8192,FP32,32x256,32x8,20,100,5,248.33,260.178,260.239,4.74135,257.935,31.8246,1,0,0
f26e668,2026-08-23T16:33:45Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,1024x8192,FP32,32x256,32x8,20,100,5,83.8554,83.968,84.0028,0.0551814,799.22,98.6098,3.09854,0,0
f26e668,2026-08-23T16:33:45Z,NVIDIA GeForce RTX 3090,13.2,12.4,padded_v3,1024x8192,FP32,32x256,32x8,20,100,5,82.473,82.5446,82.5856,0.0404448,813.001,100.31,3.15197,0,0
f26e668,2026-08-23T16:33:46Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,8192x1024,FP32,256x32,32x8,20,100,5,82.4115,82.4525,82.4627,0.0189934,813.91,100,2.76987,0,0
f26e668,2026-08-23T16:33:46Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,8192x1024,FP32,256x32,32x8,20,100,5,226.253,228.383,228.409,0.850476,293.844,36.1028,1,0,0
f26e668,2026-08-23T16:33:46Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,8192x1024,FP32,256x32,32x8,20,100,5,85.2275,85.2378,85.3156,0.0375403,787.314,96.7323,2.67936,0,0
f26e668,2026-08-23T16:33:46Z,NVIDIA GeForce RTX 3090,13.2,12.4,padded_v3,8192x1024,FP32,256x32,32x8,20,100,5,83.8758,83.8861,83.9148,0.0150504,800,98.291,2.72253,0,0
f26e668,2026-08-23T16:33:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,4096x4096,FP32,128x128,32x8,20,100,5,161.178,161.229,161.239,0.0286718,832.467,100,2.81003,0,0
f26e668,2026-08-23T16:33:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,4096x4096,FP32,128x128,32x8,20,100,5,450.181,453.059,456.45,2.20618,296.248,35.5867,1,0,0
f26e668,2026-08-23T16:33:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,4096x4096,FP32,128x128,32x8,20,100,5,168.294,168.356,168.434,0.0520579,797.226,95.7667,2.69108,0,0
f26e668,2026-08-23T16:33:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,padded_v3,4096x4096,FP32,128x128,32x8,20,100,5,165.939,165.949,166.029,0.0374305,808.787,97.1554,2.7301,0,0
f26e668,2026-08-23T16:33:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,4097x3073,FP32,129x97,32x8,20,100,5,121.334,121.344,121.393,0.0247448,830.042,100,2.95536,0,0
f26e668,2026-08-23T16:33:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,4097x3073,FP32,129x97,32x8,20,100,5,357.734,358.615,358.873,0.40388,280.86,33.8369,1,0,0
f26e668,2026-08-23T16:33:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,4097x3073,FP32,129x97,32x8,20,100,5,131.031,131.144,131.193,0.0566838,768.018,92.5275,2.73452,0,0
f26e668,2026-08-23T16:33:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,padded_v3,4097x3073,FP32,129x97,32x8,20,100,5,129.454,129.526,129.534,0.0293942,777.611,93.6833,2.76868,0,0
